area,occ_code,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
55,47-0000,110650.0,0.8,38.34,0.94,30.83,64120.0,0.6,22.94,29.17,38.18,47710.0,60670.0,79410.0
56,47-0000,24950.0,1.3,91.14,2.22,28.31,58880.0,0.6,21.6,25.86,34.7,44920.0,53780.0,72170.0
1,49-0000,105670.0,0.9,51.469,1.3,26.67,55480.0,0.4,18.36,24.1,32.05,38190.0,50130.0,66650.0
2,49-0000,17280.0,1.8,55.441,1.41,34.49,71750.0,0.9,23.75,32.68,43.82,49400.0,67970.0,91150.0
4,49-0000,133180.0,1.4,42.553,1.08,26.91,55960.0,0.6,19.0,24.02,31.17,39520.0,49970.0,64840.0
5,49-0000,59840.0,1.1,47.069,1.19,24.41,50760.0,0.5,17.58,22.62,29.11,36560.0,47050.0,60540.0
6,49-0000,546790.0,0.8,30.469,0.77,32.19,66960.0,0.5,22.43,29.64,38.11,46640.0,61650.0,79260.0
8,49-0000,103630.0,1.2,36.594,0.93,30.08,62560.0,0.4,22.27,28.6,36.47,46330.0,59480.0,75850.0
9,49-0000,53070.0,1.8,31.965,0.81,30.54,63520.0,0.6,21.92,28.86,37.31,45600.0,60020.0,77600.0
10,49-0000,16670.0,2.1,35.529,0.9,29.56,61480.0,0.9,21.76,28.36,36.52,45250.0,58980.0,75960.0
11,49-0000,9500.0,4.8,13.54,0.34,32.24,67070.0,1.8,23.55,30.3,38.8,48980.0,63020.0,80700.0
12,49-0000,401220.0,0.8,41.933,1.06,25.37,52770.0,0.3,18.12,23.1,29.9,37690.0,48040.0,62190.0
13,49-0000,204480.0,0.9,42.976,1.09,26.78,55710.0,0.4,18.65,24.2,31.56,38790.0,50340.0,65630.0
15,49-0000,22790.0,2.2,36.931,0.94,32.3,67180.0,0.7,23.28,30.37,38.67,48420.0,63170.0,80440.0
16,49-0000,36340.0,1.6,44.168,1.12,25.71,53480.0,0.6,18.32,23.41,30.3,38100.0,48690.0,63020.0
17,49-0000,202590.0,1.8,33.7,0.85,29.21,60750.0,0.6,20.86,27.75,36.3,43390.0,57730.0,75500.0
18,49-0000,144800.0,0.9,45.869,1.16,27.69,57590.0,0.4,20.8,26.13,33.25,43270.0,54340.0,69160.0
19,49-0000,67880.0,1.0,43.942,1.11,27.03,56230.0,0.4,20.92,25.82,30.96,43520.0,53710.0,64400.0
20,49-0000,63480.0,1.2,44.96,1.14,27.21,56610.0,0.7,19.61,25.05,32.52,40780.0,52100.0,67640.0
21,49-0000,90750.0,1.4,46.227,1.17,26.64,55400.0,0.4,18.47,24.48,31.89,38430.0,50920.0,66320.0
22,49-0000,93830.0,1.5,50.67,1.28,26.47,55060.0,0.5,17.81,23.72,32.05,37040.0,49330.0,66660.0
23,49-0000,26730.0,1.2,42.988,1.09,27.62,57450.0,0.6,21.33,26.14,31.52,44370.0,54370.0,65560.0
24,49-0000,95360.0,1.8,35.615,0.9,29.58,61530.0,0.7,21.8,28.02,36.58,45340.0,58270.0,76090.0
25,49-0000,106130.0,1.6,29.13,0.74,32.05,66670.0,0.6,23.04,29.81,38.39,47920.0,62000.0,79860.0
